Rank,Device_Name,Incident_Count,Percentage
1,SPACE INFUSION SYSTEM - INFUSOMAT SPACE VOLUMETRIC INFUSION PUMP,117,5.95
2,INFUSOMAT SPACE PUMP IV SET,92,4.67
3,LIFELINE BETA AV-SET ONLINE PLUS BVM 5008-R,84,4.27
4,T:SLIM X2 INSULIN PUMP WITH CONTROL-IQ TECHNOLOGY,75,3.81
5,CONTROL-IQ TECHNOLOGY,48,2.44
6,T:SLIM/CONTROL-IQ,45,2.29
7,T:SLIM X2 CARTRIDGE,40,2.03
8,MINICAP EXTENDED LIFE PD TRANSFER SET W/TWIST CLAMP,31,1.58
9,PRISMAX CONTROL UNIT,24,1.22
10,NOVUM IQ LARGE VOLUME PUMP,22,1.12
11,DEXCOM G7 SENSOR,21,1.07
12,"OMNIPOD DASH, PODS 10-PACK",18,0.91
13,INFUSOMAT SPACE PUMP IV SET WITH ANTI-SIPHON VALVE,18,0.91
14,"T:SLIM/CONTROL-IQ, REPLACEMENT",17,0.86
15,INFUSOMAT SPACE PUMP IV SET; SPACE INFUSION SYSTEM - INFUSOMAT SPACE VOLUMETRIC INFUSION PUMP,17,0.86
16,DEXCOM G6 SENSOR,16,0.81
17,SMOOTH ROUND MODERATE PLUS PROFILE SILICONE GEL FILLED BREAST IMPLANTS,15,0.76
18,UNKNOWN LUMENIS VERSAPULSE HOLMIUM LASER,15,0.76
19,PRISMAFLEX HAEMODIALYSIS SETS WITH FILTER; PRISMAX CONTROL UNIT,15,0.76
20,INGEVITY+ EXTENDABLE/RETRACTABLE FIXATION,14,0.71
21,RELIANCE 4-FRONT - SINGLE SHOCK COIL WITH SILICONE IN-FILL,13,0.66
22,FINELINE II STEROX,12,0.61
23,HEARTMATE 3 LVAS IMPLANT KIT,12,0.61
24,ACCOLADE MRI PACEMAKER,12,0.61
25,KANGAROO OMNI ENTERAL FEEDING PUMP,12,0.61
26,VIAVALVE-W SAFETY IV CATHETER - RADIOPAQUE,12,0.61
27,UNKNOWN B BRAUN INFUSION PUMP,11,0.56
28,B-D LUER-LOK TIP SYRINGE,11,0.56
29,INFUSOMAT SPACE PUMP Y-TYPE BLOOD IV SET WITH ANTI-SIPHON VALVE,11,0.56
30,HARMONIC 1100 SHEARS,10,0.51
31,"THERMAGE THERMACOOL CPT SYSTEM - TREATMENT TIP, FAST, FRAMED, NON-STERILE",10,0.51
32,CAPTIVATOR COLD SINGLE-USE SNARE,10,0.51
33,COOLSCULPTING SYSTEM - CONTROL UNIT,9,0.46
34,THERMOCOOL SMARTTOUCH SF BI-DIRECTIONAL NAVIGATION CATHETER,9,0.46
35,TRICLIP G4 DELIVERY SYSTEM,8,0.41
36,"MITRACLIP G4 CLIP DELIVERY SYSTEM, XTW",8,0.41
37,RESONATE EL ICD-MRI,8,0.41
38,AUTOSOFT 90,8,0.41
39,OMNIPOD INSULIN MANAGEMENT SYSTEM - OMNIPOD,8,0.41
40,SMOOTH ROUND HIGH PROFILE SILICONE GEL FILLED BREAST IMPLANTS,8,0.41
41,BD ALARIS PUMP MODULE; BD ALARIS PCU,8,0.41
42,BD ALARIS PUMP MODULE,8,0.41
43,"CARPENTIER-EDWARDS PERIMOUNT MAGNA EASE PERICARDIAL BIOPROSTHESIS, AORTIC",7,0.36
44,EVOLUT FX TRANSCATHETER AORTIC VALVE; EVOLUT FX DELIVERY CATHETER SYSTEM,7,0.36
45,INSYTE AUTOGUARD SHIELDED I.V. CATHETER,7,0.36
46,UNKNOWN - DEVICE DETAILS NOT PROVIDED BY COMPLAINANT,7,0.36
47,UNKNOWN B BRAUN IV TUBING,7,0.36
48,"V60 VENTILATOR, SYMBOLS ONLY, WITH CFLEX AND AVAPS OPTIONS",7,0.36
49,FARAWAVE PULSED FIELD ABLATION CATHETER,6,0.3
50,EMBLEM S-ICD SUBCUTANEOUS ELECTRODE,6,0.3
51,EVOLUT FX TRANSCATHETER AORTIC VALVE,6,0.3
52,"STYLE 68 SMOOTH, ROUND SALINE-FILLED BREAST IMPLANT W/FILL TUBE & BIOCELL S",6,0.3
53,SAFETY GLIDE SHIELDING IM INJECTION NEEDLE,6,0.3
54,UNKNOWN INFUSION PUMPS,6,0.3
55,"TRILOGY 2O2, INTERNATIONAL",6,0.3
56,DREAMSTATION AUTO CPAP,5,0.25
57,BD NEXIVA CLOSED IV CATHETER SYSTEM - SINGLE PORT,5,0.25
58,VIO 300 D - ELECTROSURGICAL UNIT,5,0.25
59,SALINE-FILLED MAMMARY PROSTHESES WITH DIAPHRAGM VALVE,5,0.25
60,BD ALARIS PUMP INFUSION SET,5,0.25
61,"PRESSURE INFUSION EXT SET W/MICROCLAVE CLEAR, CLAMP, ROTATING LUER",5,0.25
62,TECNIS SYNERGY OPTIBLUE IOL WITH TECNIS SIMPLICITY DELIVERY SYSTEM,4,0.2
63,UNKNOWN BREAST IMPLANT,4,0.2
64,CARPENTIER-EDWARDS PERIMOUNT MAGNA MITRAL EASE WITH THERMAFIX,4,0.2
65,MITRACLIP G4 STEERABLE GUIDE CATHETER,4,0.2
66,VISIONIST X4 CRT-P,4,0.2
67,INFINITY TIBIAL TRAY,4,0.2
68,GUARDIAN 4 SENSOR,4,0.2
69,"POWERPICC SV CATHETER WITH SHERLOCK 3CG TPS STYLET, BASIC KIT",4,0.2
70,EMBLEM MRI S-ICD PG,4,0.2
71,BD VACUTAINER ULTRA TOUCH PUSH BUTTON BLOOD COLLECTION SET,4,0.2
72,TECNIS PURESEE TORIC II IOL WITH TECNIS SIMPLICITY DELIVERY SYSTEM,4,0.2
