INCIDENT_ID,INCIDENT_TYPE_E,INCIDENT_TYPE_F,RECEIPT_DT,SOURCE_OF_RECALL_E,SOURCE_OF_RECALL_F,HAZARD_SEVERITY_CODE_E,HAZARD_SEVERITY_CODE_F,INC_AWARE_DT,MANDATORY_RPT,INCIDENT_DT,TRADE_NAME,PREF_NAME_CODE,RISK_CLASSIFICATION,USAGE_CODE_TERM_E,COMPANY_NAME,ROLE_E,INCIDENT_DT_parsed,RECEIPT_DT_parsed,INC_AWARE_DT_parsed,Year,Month,Month_Year
1130968,Mandatory problem report,Déclaration d'incident obligatoire,2025-01-07,Canada,Canada,INJURY,BLESSURE,2024-12-10,30.0,2024-12-10,SPACE INFUSION SYSTEM - INFUSOMAT SPACE VOLUMETRIC INFUSION PUMP,80FRN,3,GENERAL HOSPITAL,HOSPITAL / HÔPITAL; B. BRAUN MELSUNGEN AG,(HOSPITAL); (MANUFACTURER),2024-12-10,2025-01-07,2024-12-10,2024,12,December 2024
1131016,Mandatory problem report,Déclaration d'incident obligatoire,2025-01-07,Canada,Canada,INJURY,BLESSURE,2024-12-04,30.0,2024-12-04,SPACE INFUSION SYSTEM - INFUSOMAT SPACE VOLUMETRIC INFUSION PUMP,80FRN,3,GENERAL HOSPITAL,HOSPITAL / HÔPITAL; B. BRAUN MELSUNGEN AG; B. BRAUN US DEVICE MANUFACTURING LLC.,(HOSPITAL); (MANUFACTURER); (IMPORTER),2024-12-04,2025-01-07,2024-12-04,2024,12,December 2024
1131120,Mandatory problem report,Déclaration d'incident obligatoire,2025-01-07,Canada,Canada,INJURY,BLESSURE,2024-12-09,30.0,2024-12-04,SPACE INFUSION SYSTEM - INFUSOMAT SPACE VOLUMETRIC INFUSION PUMP,80FRN,3,GENERAL HOSPITAL,HOSPITAL / HÔPITAL; B. BRAUN MELSUNGEN AG,(HOSPITAL); (MANUFACTURER),2024-12-04,2025-01-07,2024-12-09,2024,12,December 2024
1126329,Mandatory problem report,Déclaration d'incident obligatoire,2024-11-28,Canada,Canada,INJURY,BLESSURE,2024-11-21,30.0,2024-11-21,SPACE INFUSION SYSTEM - INFUSOMAT SPACE VOLUMETRIC INFUSION PUMP,80FRN,3,GENERAL HOSPITAL,HOSPITAL / HÔPITAL; B. BRAUN MELSUNGEN AG; B. BRAUN US DEVICE MANUFACTURING LLC.,(HOSPITAL); (MANUFACTURER); (IMPORTER),2024-11-21,2024-11-28,2024-11-21,2024,11,November 2024
1126246,Mandatory problem report,Déclaration d'incident obligatoire,2024-11-28,Canada,Canada,INJURY,BLESSURE,2024-11-19,30.0,2024-11-19,SPACE INFUSION SYSTEM - INFUSOMAT SPACE VOLUMETRIC INFUSION PUMP,80FRN,3,GENERAL HOSPITAL,HOSPITAL / HÔPITAL; B. BRAUN MELSUNGEN AG; B. BRAUN US DEVICE MANUFACTURING LLC.,(HOSPITAL); (MANUFACTURER); (IMPORTER),2024-11-19,2024-11-28,2024-11-19,2024,11,November 2024
1126395,Mandatory problem report,Déclaration d'incident obligatoire,2024-11-28,Canada,Canada,INJURY,BLESSURE,2024-11-15,30.0,2024-11-15,SPACE INFUSION SYSTEM - INFUSOMAT SPACE VOLUMETRIC INFUSION PUMP,80FRN,3,GENERAL HOSPITAL,HOSPITAL / HÔPITAL; B. BRAUN MELSUNGEN AG; B. BRAUN US DEVICE MANUFACTURING LLC.,(HOSPITAL); (MANUFACTURER); (IMPORTER),2024-11-15,2024-11-28,2024-11-15,2024,11,November 2024
1126421,Mandatory problem report,Déclaration d'incident obligatoire,2024-11-28,Canada,Canada,INJURY,BLESSURE,2024-11-12,30.0,2024-11-12,SPACE INFUSION SYSTEM - INFUSOMAT SPACE VOLUMETRIC INFUSION PUMP,80FRN,3,GENERAL HOSPITAL,HOSPITAL / HÔPITAL; B. BRAUN MELSUNGEN AG; B. BRAUN US DEVICE MANUFACTURING LLC.,(HOSPITAL); (MANUFACTURER); (IMPORTER),2024-11-12,2024-11-28,2024-11-12,2024,11,November 2024
1130653,Mandatory problem report,Déclaration d'incident obligatoire,2024-12-19,Canada,Canada,INJURY,BLESSURE,2024-11-12,30.0,2024-11-12,SPACE INFUSION SYSTEM - INFUSOMAT SPACE VOLUMETRIC INFUSION PUMP,80FRN,3,GENERAL HOSPITAL,HOSPITAL / HÔPITAL; B. BRAUN MELSUNGEN AG,(HOSPITAL); (MANUFACTURER),2024-11-12,2024-12-19,2024-11-12,2024,11,November 2024
1126447,Mandatory problem report,Déclaration d'incident obligatoire,2024-11-28,Canada,Canada,INJURY,BLESSURE,2024-11-07,30.0,2024-11-07,SPACE INFUSION SYSTEM - INFUSOMAT SPACE VOLUMETRIC INFUSION PUMP,80FRN,3,GENERAL HOSPITAL,HOSPITAL / HÔPITAL; B. BRAUN MELSUNGEN AG; B. BRAUN US DEVICE MANUFACTURING LLC.,(HOSPITAL); (MANUFACTURER); (IMPORTER),2024-11-07,2024-11-28,2024-11-07,2024,11,November 2024
1126455,Mandatory problem report,Déclaration d'incident obligatoire,2024-11-28,Canada,Canada,INJURY,BLESSURE,2024-11-08,30.0,2024-11-07,SPACE INFUSION SYSTEM - INFUSOMAT SPACE VOLUMETRIC INFUSION PUMP,80FRN,3,GENERAL HOSPITAL,HOSPITAL / HÔPITAL; B. BRAUN MELSUNGEN AG; B. BRAUN US DEVICE MANUFACTURING LLC.,(HOSPITAL); (MANUFACTURER); (IMPORTER),2024-11-07,2024-11-28,2024-11-08,2024,11,November 2024
