INCIDENT_ID,INCIDENT_TYPE_E,INCIDENT_TYPE_F,RECEIPT_DT,SOURCE_OF_RECALL_E,SOURCE_OF_RECALL_F,HAZARD_SEVERITY_CODE_E,HAZARD_SEVERITY_CODE_F,INC_AWARE_DT,MANDATORY_RPT,INCIDENT_DT,TRADE_NAME,PREF_NAME_CODE,RISK_CLASSIFICATION,USAGE_CODE_TERM_E,COMPANY_NAME,ROLE_E
909681,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-21,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2020-01-30,10.0,2020-01-30,T:SLIM X2 INSULIN PUMP,80LZG,3,UNDEFINED,"TANDEM DIABETES CARE, INC.; TANDEM DIABETES CARE CANADA, INC.",(MANUFACTURER); (IMPORTER)
909685,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-21,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2020-02-03,10.0,2020-02-01,T:SLIM X2 INSULIN PUMP,80LZG,3,UNDEFINED,"TANDEM DIABETES CARE, INC.; TANDEM DIABETES CARE CANADA, INC.",(MANUFACTURER); (IMPORTER)
909686,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-14,Canada,Canada,INJURY,BLESSURE,2020-02-04,10.0,2020-02-04,T:SLIM X2 INSULIN PUMP,80LZG,3,UNDEFINED,"TANDEM DIABETES CARE, INC.; TANDEM DIABETES CARE CANADA, INC.",(MANUFACTURER); (IMPORTER)
910443,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-14,Canada,Canada,INJURY,BLESSURE,2020-02-03,10.0,2019-10-12,T:SLIM X2 INSULIN PUMP,80LZG,3,UNDEFINED,"TANDEM DIABETES CARE, INC.; TANDEM DIABETES CARE CANADA, INC.",(MANUFACTURER); (IMPORTER)
910493,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-14,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2020-02-04,10.0,2020-02-04,T:SLIM X2 INSULIN PUMP,80LZG,3,UNDEFINED,"TANDEM DIABETES CARE, INC.; TANDEM DIABETES CARE CANADA, INC.",(MANUFACTURER); (IMPORTER)
910963,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-22,Canada,Canada,INJURY,BLESSURE,2020-02-14,10.0,2020-02-14,T:SLIM X2 INSULIN PUMP,80LZG,3,UNDEFINED,"TANDEM DIABETES CARE CANADA, INC.",(IMPORTER)
913399,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-21,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2019-11-18,30.0,2019-11-17,T:SLIM X2 INSULIN PUMP,80LZG,3,UNDEFINED,"TANDEM DIABETES CARE, INC.; TANDEM DIABETES CARE CANADA, INC.",(MANUFACTURER); (IMPORTER)
914122,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-14,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2019-10-27,30.0,2019-10-27,T:SLIM X2 INSULIN PUMP,80LZG,3,UNDEFINED,"TANDEM DIABETES CARE, INC.; TANDEM DIABETES CARE CANADA, INC.",(MANUFACTURER); (IMPORTER)
915349,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-21,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2019-10-29,10.0,2019-10-27,T:SLIM X2 INSULIN PUMP,80LZG,3,UNDEFINED,"TANDEM DIABETES CARE, INC.; TANDEM DIABETES CARE CANADA, INC.",(MANUFACTURER); (IMPORTER)
917969,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-21,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2019-11-20,30.0,2019-11-20,T:SLIM X2 INSULIN PUMP,80LZG,3,UNDEFINED,"TANDEM DIABETES CARE, INC.; TANDEM DIABETES CARE CANADA, INC.",(MANUFACTURER); (IMPORTER)
