INCIDENT_ID,INCIDENT_TYPE_E,INCIDENT_TYPE_F,RECEIPT_DT,SOURCE_OF_RECALL_E,SOURCE_OF_RECALL_F,HAZARD_SEVERITY_CODE_E,HAZARD_SEVERITY_CODE_F,INC_AWARE_DT,MANDATORY_RPT,INCIDENT_DT
909681,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-21,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2020-01-30,10.0,2020-01-30
909685,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-21,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2020-02-03,10.0,2020-02-01
909686,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-14,Canada,Canada,INJURY,BLESSURE,2020-02-04,10.0,2020-02-04
910443,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-14,Canada,Canada,INJURY,BLESSURE,2020-02-03,10.0,2019-10-12
910493,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-14,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2020-02-04,10.0,2020-02-04
910963,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-22,Canada,Canada,INJURY,BLESSURE,2020-02-14,10.0,2020-02-14
913399,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-21,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2019-11-18,30.0,2019-11-17
914122,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-14,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2019-10-27,30.0,2019-10-27
915349,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-21,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2019-10-29,10.0,2019-10-27
917969,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-21,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2019-11-20,30.0,2019-11-20
917988,Mandatory problem report,Déclaration d'incident obligatoire,2025-04-21,Canada,Canada,INJURY,BLESSURE,2019-11-05,10.0,2019-08-31
1062634,Mandatory problem report,Déclaration d'incident obligatoire,2024-11-01,Canada,Canada,INJURY,BLESSURE,2023-08-31,10.0,2023-08-14
1077994,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-13,Canada,Canada,INJURY,BLESSURE,2023-10-04,30.0,2023-10-04
1107459,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-19,Canada,Canada,INJURY,BLESSURE,2024-07-02,10.0,2024-07-02
1113188,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-02,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-05,30.0,2024-07-08
1113189,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-03,Canada,Canada,INJURY,BLESSURE,2024-08-27,10.0,
1113196,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-03,Canada,Canada,INJURY,BLESSURE,2024-08-28,10.0,2024-08-28
1113198,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-03,Canada,Canada,INJURY,BLESSURE,2024-08-27,10.0,2024-08-27
1113207,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-03,Canada,Canada,INJURY,BLESSURE,2024-08-27,10.0,2024-08-13
1113211,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-03,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-28,10.0,2024-08-28
1113224,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-03,Canada,Canada,INJURY,BLESSURE,2024-08-28,10.0,2024-08-11
1113225,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-03,Canada,Canada,INJURY,BLESSURE,2024-08-27,10.0,2024-07-16
1113233,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-03,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-27,10.0,2024-08-13
1113302,Mandatory problem report linked to a recall,Déclaration d'incident obligatoire lié à un rappel,2024-09-03,Canada,Canada,POTENTIAL FOR DEATH/INJURY,POTENTIEL DE MORT / DE BLESSURES,2024-08-28,10.0,2023-08-15
1113306,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-03,Canada,Canada,INJURY,BLESSURE,2024-08-28,10.0,2020-01-01
1113319,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-03,Canada,Canada,INJURY,BLESSURE,2024-08-26,10.0,2024-08-25
1113332,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-03,Canada,Canada,INJURY,BLESSURE,2024-08-26,10.0,2024-08-26
1113333,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-03,Canada,Canada,INJURY,BLESSURE,2024-08-28,10.0,2013-01-01
1113347,Mandatory problem report,Déclaration d'incident obligatoire,2024-09-03,Canada,Canada,INJURY,BLESSURE,2024-08-28,10.0,2022-07-21
